player_id,player_name,order,team,opp_pitcher,p_hand,b_hand,iso,slg,sp_hr9_split,clash_badge,prob,score,target_call,rank,wb_score,wb_rank,synergy_score,synergy_call
691594,Javier Sanoja,8,Miami Marlins,Jake Irvin,R,R,0.145,0.427,1.8,ABOVE-AVG MATCHUP,0.1893,51.9,⚾ Standard Matchup,63,20.0,53,36.6,⚾ Baseline Confluence
686948,Drake Baldwin,1,Atlanta Braves,Logan Henderson,R,L,0.176,0.445,1.48,ABOVE-AVG MATCHUP,0.1889,51.8,⚾ Standard Matchup,64,20.0,19,36.5,⚾ Baseline Confluence
695657,Colson Montgomery,5,Chicago White Sox,Christian Scott,R,L,0.222,0.439,1.17,ABOVE-AVG MATCHUP,0.1884,51.5,⚾ Standard Matchup,65,20.0,140,36.4,⚾ Baseline Confluence
641680,Jonah Heim,8,Athletics,Hunter Brown,R,S,0.179,0.41,1.45,ABOVE-AVG MATCHUP,0.1883,51.5,⚾ Standard Matchup,66,20.0,116,36.4,⚾ Baseline Confluence
676356,Jonny DeLuca,4,Tampa Bay Rays,Brandon Young,R,R,0.167,0.431,1.55,ABOVE-AVG MATCHUP,0.1879,51.3,⚾ Standard Matchup,67,20.0,76,36.3,⚾ Baseline Confluence
666023,Freddy Fermin,3,San Diego Padres,Dean Kremer,R,R,0.113,0.304,2.53,ABOVE-AVG MATCHUP,0.1844,49.7,⚾ Standard Matchup,68,20.0,264,35.4,⚾ Baseline Confluence
672640,Otto Lopez,4,Miami Marlins,Jake Irvin,R,R,0.14,0.447,1.8,ABOVE-AVG MATCHUP,0.1834,49.3,⚾ Standard Matchup,69,20.0,49,35.2,⚾ Baseline Confluence
645277,Ozzie Albies,5,Atlanta Braves,Logan Henderson,R,S,0.169,0.418,1.48,ABOVE-AVG MATCHUP,0.1821,48.7,⚾ Standard Matchup,70,20.0,23,34.9,⚾ Baseline Confluence
678218,Brandon Valenzuela,3,Toronto Blue Jays,Ryan Weathers,L,S,0.158,0.388,1.35,ABOVE-AVG MATCHUP,0.181,48.2,⚾ Standard Matchup,71,20.0,3,34.7,⚾ Baseline Confluence
621439,Byron Buxton,4,Minnesota Twins,Casey Mize,R,R,0.264,0.518,1.06,ABOVE-AVG MATCHUP,0.1809,48.2,⚾ Standard Matchup,72,20.0,256,34.7,⚾ Baseline Confluence
691781,Brady House,4,Washington Nationals,Eury Pérez,R,R,0.158,0.396,1.57,ABOVE-AVG MATCHUP,0.1808,48.1,⚾ Standard Matchup,73,20.0,40,34.6,⚾ Baseline Confluence
660670,Ronald Acuña Jr.,2,Atlanta Braves,Logan Henderson,R,R,0.182,0.416,1.33,ABOVE-AVG MATCHUP,0.1768,46.3,⚾ Standard Matchup,74,20.0,20,33.7,⚾ Baseline Confluence
624428,Adam Frazier,1,Los Angeles Angels,Cody Bradford,L,L,0.116,0.359,2.08,ABOVE-AVG MATCHUP,0.1763,46.1,⚾ Standard Matchup,75,20.0,91,33.6,⚾ Baseline Confluence
543877,Christian Vázquez,2,Houston Astros,Jacob Lopez,L,R,0.13,0.35,1.85,ABOVE-AVG MATCHUP,0.1758,45.9,⚾ Standard Matchup,76,20.0,119,33.5,⚾ Baseline Confluence
543807,George Springer,9,Toronto Blue Jays,Ryan Weathers,L,R,0.152,0.387,1.35,ABOVE-AVG MATCHUP,0.1748,45.4,⚾ Standard Matchup,77,20.0,9,33.2,⚾ Baseline Confluence
805999,A.J. Ewing,1,New York Mets,Luis Castillo,R,L,0.122,0.367,1.94,ABOVE-AVG MATCHUP,0.1733,44.8,⚾ Standard Matchup,78,20.0,127,32.9,⚾ Baseline Confluence
696285,Jacob Young,9,Washington Nationals,Eury Pérez,R,R,0.15,0.399,1.57,ABOVE-AVG MATCHUP,0.1725,44.4,⚾ Standard Matchup,79,20.0,45,32.7,⚾ Baseline Confluence
573262,Mike Yastrzemski,7,Atlanta Braves,Logan Henderson,R,L,0.159,0.391,1.48,ABOVE-AVG MATCHUP,0.1724,44.4,⚾ Standard Matchup,80,20.0,25,32.7,⚾ Baseline Confluence
678489,Jorge Barrosa,7,Arizona Diamondbacks,Rhett Lowder,R,S,0.144,0.341,1.63,ABOVE-AVG MATCHUP,0.172,44.2,⚾ Standard Matchup,81,20.0,232,32.6,⚾ Baseline Confluence
699013,Esmerlyn Valdez,4,Pittsburgh Pirates,Tarik Skubal,L,R,0.286,0.531,0.82,ABOVE-AVG MATCHUP,0.1718,44.1,⚾ Standard Matchup,82,20.0,166,32.5,⚾ Baseline Confluence
687749,Jase Bowen,7,San Diego Padres,Dean Kremer,R,R,0.104,0.273,2.53,ABOVE-AVG MATCHUP,0.1711,43.8,⚾ Standard Matchup,83,20.0,268,32.4,⚾ Baseline Confluence
672386,Alejandro Kirk,1,Toronto Blue Jays,Ryan Weathers,L,R,0.148,0.432,1.35,ABOVE-AVG MATCHUP,0.1706,43.6,⚾ Standard Matchup,84,20.0,1,32.3,⚾ Baseline Confluence
518692,Freddie Freeman,5,Los Angeles Dodgers,Jared Jones,R,L,0.163,0.463,1.42,ABOVE-AVG MATCHUP,0.1698,43.2,⚾ Standard Matchup,85,20.0,176,32.1,⚾ Baseline Confluence
545121,Ildemaro Vargas,4,Arizona Diamondbacks,Rhett Lowder,R,S,0.141,0.402,1.63,ABOVE-AVG MATCHUP,0.1687,42.7,⚾ Standard Matchup,86,20.0,229,31.8,⚾ Baseline Confluence
691458,Blaze Jordan,2,St. Louis Cardinals,Andrew Painter,R,R,0.121,0.362,1.65,ABOVE-AVG MATCHUP,0.1681,42.5,⚾ Standard Matchup,87,20.0,56,31.7,⚾ Baseline Confluence
677951,Bobby Witt Jr.,1,Kansas City Royals,Drew Anderson,R,R,0.175,0.463,1.51,ABOVE-AVG MATCHUP,0.168,42.4,⚾ Standard Matchup,88,20.0,154,31.6,⚾ Baseline Confluence
694384,Nolan Schanuel,7,Los Angeles Angels,Cody Bradford,L,L,0.109,0.385,2.08,ABOVE-AVG MATCHUP,0.1666,41.8,⚾ Standard Matchup,89,20.0,97,31.3,⚾ Baseline Confluence
624424,Michael Conforto,7,Chicago Cubs,Kade Anderson,L,L,0.212,0.429,1.2,ABOVE-AVG MATCHUP,0.1658,41.4,⚾ Standard Matchup,90,20.0,187,31.1,⚾ Baseline Confluence
665877,José Fermín,9,St. Louis Cardinals,Andrew Painter,R,R,0.119,0.37,1.65,ABOVE-AVG MATCHUP,0.1656,41.4,⚾ Standard Matchup,91,20.0,63,31.1,⚾ Baseline Confluence
683146,Brett Baty,3,New York Mets,Luis Castillo,R,L,0.116,0.331,1.94,ABOVE-AVG MATCHUP,0.1655,41.3,⚾ Standard Matchup,92,20.0,129,31.1,⚾ Baseline Confluence
686611,Dylan Crews,7,Washington Nationals,Eury Pérez,R,R,0.143,0.353,1.57,ABOVE-AVG MATCHUP,0.1651,41.1,⚾ Standard Matchup,93,20.0,43,31.0,⚾ Baseline Confluence
701678,Hao-Yu Lee,8,Detroit Tigers,Michael Wacha,R,R,0.146,0.423,1.77,ABOVE-AVG MATCHUP,0.1647,41.0,⚾ Standard Matchup,94,20.0,152,30.9,⚾ Baseline Confluence
672284,Jarred Kelenic,9,Texas Rangers,Ryan Johnson,R,L,0.095,0.321,2.34,ABOVE-AVG MATCHUP,0.1637,40.5,⚾ Standard Matchup,95,20.0,108,30.7,⚾ Baseline Confluence
807727,Charles McAdoo,5,Toronto Blue Jays,Ryan Weathers,L,R,0.141,0.404,1.35,ABOVE-AVG MATCHUP,0.1632,40.3,⚾ Standard Matchup,96,20.0,5,30.6,⚾ Baseline Confluence
622761,Jorge Mateo,5,Tampa Bay Rays,Brandon Young,R,R,0.14,0.38,1.55,ABOVE-AVG MATCHUP,0.1601,39.0,⚾ Standard Matchup,97,20.0,77,29.9,⚾ Baseline Confluence
663993,Nathaniel Lowe,9,Cleveland Guardians,Gabriel Hughes,R,L,0.222,0.489,0.81,ABOVE-AVG MATCHUP,0.1597,38.8,⚾ Standard Matchup,98,20.0,243,29.8,⚾ Baseline Confluence
669016,Brandon Marsh,2,Philadelphia Phillies,TBD Pitcher,R,L,0.163,0.44,1.2,NEUTRAL TRAJECTORY,0.1578,38.0,⚾ Standard Matchup,99,20.0,65,29.4,⚾ Baseline Confluence
656537,Derek Hill,6,Philadelphia Phillies,TBD Pitcher,R,R,0.162,0.375,1.2,NEUTRAL TRAJECTORY,0.1569,37.6,⚾ Standard Matchup,100,20.0,69,29.2,⚾ Baseline Confluence
500743,Miguel Rojas,9,Los Angeles Dodgers,Jared Jones,R,R,0.121,0.397,1.75,ABOVE-AVG MATCHUP,0.1565,37.4,⚾ Standard Matchup,101,20.0,180,29.0,⚾ Baseline Confluence
664023,Ian Happ,4,Chicago Cubs,Kade Anderson,L,S,0.198,0.414,1.2,ABOVE-AVG MATCHUP,0.1558,37.2,⚾ Standard Matchup,102,20.0,184,28.9,⚾ Baseline Confluence
666126,Carlos Cortes,3,Athletics,Hunter Brown,R,L,0.145,0.406,1.45,ABOVE-AVG MATCHUP,0.1555,37.0,⚾ Standard Matchup,103,20.0,111,28.8,⚾ Baseline Confluence
695506,Jac Caglianone,4,Kansas City Royals,Drew Anderson,R,L,0.214,0.491,1.13,ABOVE-AVG MATCHUP,0.1549,36.8,⚾ Standard Matchup,104,20.0,157,28.7,⚾ Baseline Confluence
680776,Jarren Duran,9,Boston Red Sox,Blade Tidwell,R,L,0.156,0.365,1.46,ABOVE-AVG MATCHUP,0.1549,36.8,⚾ Standard Matchup,105,20.0,216,28.7,⚾ Baseline Confluence
571912,Luke Maile,7,Kansas City Royals,Drew Anderson,R,R,0.16,0.36,1.51,ABOVE-AVG MATCHUP,0.1548,36.7,⚾ Standard Matchup,106,20.0,160,28.7,⚾ Baseline Confluence
683090,Matthew Lugo,8,Kansas City Royals,Drew Anderson,R,R,0.16,0.405,1.51,ABOVE-AVG MATCHUP,0.1548,36.7,⚾ Standard Matchup,107,20.0,161,28.7,⚾ Baseline Confluence
669720,Austin Hays,1,San Diego Padres,Dean Kremer,R,R,0.093,0.326,2.53,ABOVE-AVG MATCHUP,0.1545,36.6,⚾ Standard Matchup,108,20.0,262,28.6,⚾ Baseline Confluence
672695,Geraldo Perdomo,3,Arizona Diamondbacks,Rhett Lowder,R,S,0.128,0.376,1.63,ABOVE-AVG MATCHUP,0.1544,36.6,⚾ Standard Matchup,109,20.0,228,28.6,⚾ Baseline Confluence
676914,Davis Schneider,6,Toronto Blue Jays,Ryan Weathers,L,R,0.132,0.274,1.35,ABOVE-AVG MATCHUP,0.1537,36.3,⚾ Standard Matchup,110,20.0,6,28.5,⚾ Baseline Confluence
661531,Brian Serven,2,Athletics,Hunter Brown,R,R,0.231,0.436,0.89,ABOVE-AVG MATCHUP,0.1523,35.7,⚾ Standard Matchup,111,20.0,110,28.2,⚾ Baseline Confluence
670231,John Rave,5,Kansas City Royals,Drew Anderson,R,L,0.209,0.403,1.13,ABOVE-AVG MATCHUP,0.1516,35.4,⚾ Standard Matchup,112,20.0,158,28.0,⚾ Baseline Confluence
678011,Anthony Seigler,3,Boston Red Sox,Blade Tidwell,R,S,0.151,0.403,1.46,ABOVE-AVG MATCHUP,0.1503,34.9,⚾ Standard Matchup,113,20.0,210,27.7,⚾ Baseline Confluence
671732,Lawrence Butler,9,Athletics,Hunter Brown,R,L,0.137,0.353,1.45,ABOVE-AVG MATCHUP,0.1476,33.8,⚾ Standard Matchup,114,20.0,117,27.2,⚾ Baseline Confluence
643217,Andrew Benintendi,1,Chicago White Sox,Christian Scott,R,L,0.178,0.423,1.17,NEUTRAL TRAJECTORY,0.1474,33.7,⚾ Standard Matchup,115,20.0,136,27.1,⚾ Baseline Confluence
663457,Lars Nootbaar,9,Arizona Diamondbacks,Rhett Lowder,R,L,0.12,0.354,1.63,ABOVE-AVG MATCHUP,0.1455,32.9,⚾ Standard Matchup,116,20.0,234,26.7,⚾ Baseline Confluence
681082,Bryson Stott,5,Philadelphia Phillies,TBD Pitcher,R,L,0.149,0.411,1.2,NEUTRAL TRAJECTORY,0.1453,32.9,⚾ Standard Matchup,117,20.0,68,26.7,⚾ Baseline Confluence
650402,Gleyber Torres,7,Detroit Tigers,Michael Wacha,R,R,0.127,0.393,1.77,ABOVE-AVG MATCHUP,0.1449,32.7,⚾ Standard Matchup,118,20.0,151,26.6,⚾ Baseline Confluence
668930,Brice Turang,2,Milwaukee Brewers,Martín Pérez,L,L,0.176,0.438,1.16,NEUTRAL TRAJECTORY,0.1447,32.6,⚾ Standard Matchup,119,20.0,29,26.6,⚾ Baseline Confluence
663586,Austin Riley,8,Atlanta Braves,Logan Henderson,R,R,0.146,0.367,1.33,ABOVE-AVG MATCHUP,0.1445,32.5,⚾ Standard Matchup,120,20.0,26,26.5,⚾ Baseline Confluence
663656,Kyle Tucker,7,Los Angeles Dodgers,Jared Jones,R,L,0.134,0.364,1.42,ABOVE-AVG MATCHUP,0.1418,31.5,⚾ Standard Matchup,121,20.0,178,26.0,⚾ Baseline Confluence
