player_id,player_name,order,team,opp_pitcher,matchup,weather,blended_iso,drought_games,core_hr_prob,hazard_mult,synergy_prob,synergy_score,target_call,rank
543510,James McCann,8,Arizona Diamondbacks,Andrew Abbott (LHP),R vs L,[DOME / CONTROLLED],0.133,8,12.0,0.75,9.0,18.0,⚾ Standard Rotation,53
694374,Tim Tawa,6,Arizona Diamondbacks,Andrew Abbott (LHP),R vs L,[DOME / CONTROLLED],0.132,0,11.8,0.75,8.9,17.8,⚾ Standard Rotation,54
650489,Willi Castro,3,Colorado Rockies,Foster Griffin (LHP),S vs L,[NEUTRAL 93° 7MPH],0.132,3,11.8,0.75,8.9,17.7,⚾ Standard Rotation,55
686797,Brooks Lee,6,Minnesota Twins,Walker Buehler (RHP),S vs R,[NEUTRAL 87° 7MPH],0.168,0,11.8,0.75,8.9,17.7,⚾ Standard Rotation,56
663586,Austin Riley,1,Atlanta Braves,Shane Drohan (LHP),R vs L,[DOME / CONTROLLED],0.128,9,11.6,0.76,8.8,17.5,⚾ Standard Rotation,57
805811,Bryce Eldridge,4,San Francisco Giants,Jake Bennett (LHP),L vs L,[NEUTRAL 67° 2MPH],0.173,4,11.4,0.77,8.8,17.5,⚾ Standard Rotation,58
605137,Josh Bell,3,Minnesota Twins,Walker Buehler (RHP),S vs R,[NEUTRAL 87° 7MPH],0.166,3,11.6,0.75,8.7,17.5,⚾ Standard Rotation,59
664034,Ty France,4,San Diego Padres,Bailey Ober (RHP),R vs R,[NEUTRAL 87° 7MPH],0.166,1,11.7,0.75,8.8,17.5,⚾ Standard Rotation,60
678882,Ceddanne Rafaela,2,Boston Red Sox,Matt Wilkinson (LHP),R vs L,[NEUTRAL 67° 2MPH],0.103,9,8.5,1.01,8.6,17.2,⚾ Standard Rotation,61
672515,Gabriel Moreno,3,Arizona Diamondbacks,Andrew Abbott (LHP),R vs L,[DOME / CONTROLLED],0.124,3,11.2,0.75,8.4,16.8,⚾ Standard Rotation,62
669134,Luis Campusano,6,San Diego Padres,Bailey Ober (RHP),R vs R,[NEUTRAL 87° 7MPH],0.121,6,8.6,0.96,8.3,16.5,⚾ Standard Rotation,63
642215,Weston Wilson,6,Seattle Mariners,Shota Imanaga (LHP),R vs L,[NEUTRAL 72°],0.126,5,10.3,0.8,8.2,16.4,⚾ Standard Rotation,64
592885,Christian Yelich,3,Milwaukee Brewers,Tyler Mahle (RHP),L vs R,[DOME / CONTROLLED],0.127,3,11.0,0.75,8.2,16.4,⚾ Standard Rotation,65
701785,Kaelen Culpepper,9,Minnesota Twins,Walker Buehler (RHP),R vs R,[NEUTRAL 87° 7MPH],0.153,0,10.8,0.75,8.1,16.2,⚾ Standard Rotation,66
678662,Ezequiel Tovar,9,Colorado Rockies,Foster Griffin (LHP),R vs L,[NEUTRAL 93° 7MPH],0.096,14,10.7,0.75,8.0,16.1,⚾ Standard Rotation,67
667472,Dane Myers,3,Cincinnati Reds,Mitch Bratt (LHP),R vs L,[DOME / CONTROLLED],0.118,5,10.7,0.75,8.0,16.0,⚾ Standard Rotation,68
668804,Bryan Reynolds,3,Pittsburgh Pirates,Blake Snell (LHP),S vs L,[DOME / CONTROLLED],0.075,23,5.6,1.42,7.9,15.9,⚾ Standard Rotation,69
655316,Andruw Monasterio,7,Boston Red Sox,Matt Wilkinson (LHP),R vs L,[NEUTRAL 67° 2MPH],0.072,22,6.0,1.31,7.9,15.7,⚾ Standard Rotation,70
800050,Chase DeLauter,2,Cleveland Guardians,Tomoyuki Sugano (RHP),L vs R,[NEUTRAL 93° 7MPH],0.098,7,10.5,0.75,7.9,15.7,⚾ Standard Rotation,71
681393,Connor Norby,5,Colorado Rockies,Foster Griffin (LHP),R vs L,[NEUTRAL 93° 7MPH],0.092,0,10.3,0.75,7.7,15.5,⚾ Standard Rotation,72
545121,Ildemaro Vargas,1,Arizona Diamondbacks,Andrew Abbott (LHP),S vs L,[DOME / CONTROLLED],0.133,5,9.8,0.75,7.3,14.6,⚾ Standard Rotation,73
668709,JJ Bleday,7,Cincinnati Reds,Mitch Bratt (LHP),L vs L,[DOME / CONTROLLED],0.132,0,9.7,0.75,7.2,14.5,⚾ Standard Rotation,74
663728,Cal Raleigh,4,Seattle Mariners,Shota Imanaga (LHP),S vs L,[NEUTRAL 72°],0.147,1,9.6,0.75,7.2,14.4,⚾ Standard Rotation,75
669003,Garrett Mitchell,6,Milwaukee Brewers,Tyler Mahle (RHP),L vs R,[DOME / CONTROLLED],0.109,2,9.5,0.75,7.1,14.3,⚾ Standard Rotation,76
683737,Michael Busch,3,Chicago Cubs,Bryce Miller (RHP),L vs R,[NEUTRAL 72°],0.122,0,9.5,0.75,7.1,14.3,⚾ Standard Rotation,77
683953,Travis Bazzana,6,Cleveland Guardians,Tomoyuki Sugano (RHP),L vs R,[NEUTRAL 93° 7MPH],0.059,27,6.4,1.1,7.1,14.1,⚾ Standard Rotation,78
595978,Austin Hedges,8,Cleveland Guardians,Tomoyuki Sugano (RHP),R vs R,[NEUTRAL 93° 7MPH],0.095,12,9.3,0.75,7.0,13.9,⚾ Standard Rotation,79
682829,Elly De La Cruz,1,Cincinnati Reds,Mitch Bratt (LHP),S vs L,[DOME / CONTROLLED],0.123,0,9.1,0.75,6.8,13.6,⚾ Standard Rotation,80
676439,Hunter Feduccia,9,Los Angeles Dodgers,Lake Bachar (RHP),L vs R,[DOME / CONTROLLED],0.101,7,8.8,0.75,6.6,13.2,⚾ Standard Rotation,81
593428,Xander Bogaerts,8,San Diego Padres,Bailey Ober (RHP),R vs R,[NEUTRAL 87° 7MPH],0.118,7,8.4,0.75,6.3,12.6,⚾ Standard Rotation,82
592518,Manny Machado,3,San Diego Padres,Bailey Ober (RHP),R vs R,[NEUTRAL 87° 7MPH],0.117,3,8.3,0.75,6.3,12.5,⚾ Standard Rotation,83
