player_id,player_name,order,team,opp_pitcher,matchup,weather,season_iso,l15_iso,blended_iso,hr_prob,score,target_call,rank
672356,Gabriel Arias,3,Chicago Cubs,Bryce Miller,R vs RHP,[NEUTRAL 72°],0.05,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,254
660844,Leo Rivas,9,Seattle Mariners,Shota Imanaga,S vs LHP,[NEUTRAL 72°],0.05,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,255
702176,Alan Roden,1,Minnesota Twins,Walker Buehler,L vs RHP,[NEUTRAL 80° 2MPH],0.05,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,256
663538,Nico Hoerner,9,Chicago Cubs,Bryce Miller,R vs RHP,[NEUTRAL 72°],0.099,0.0,0.045,3.0,10.0,⚾ Standard Power Spot,257
680977,Brendan Donovan,1,Seattle Mariners,Shota Imanaga,L vs LHP,[NEUTRAL 72°],0.132,0.0,0.059,4.0,10.0,⚾ Standard Power Spot,258
664702,Myles Straw,9,Toronto Blue Jays,Carlos Rodón,R vs LHP,[NEUTRAL 76° 8MPH],0.109,0.0,0.049,4.8,10.0,⚾ Standard Power Spot,259
500743,Miguel Rojas,9,Los Angeles Dodgers,Lake Bachar,R vs RHP,[DOME / CONTROLLED],0.121,0.0,0.054,4.1,10.0,⚾ Standard Power Spot,260
665877,José Fermín,7,St. Louis Cardinals,Cristopher Sánchez,R vs LHP,[NEUTRAL 75° 8MPH],0.117,0.0,0.053,5.0,10.0,⚾ Standard Power Spot,261
630105,Jake Cronenworth,6,San Diego Padres,Bailey Ober,L vs RHP,[NEUTRAL 80° 2MPH],0.08,0.054,0.065,4.6,10.0,⚾ Standard Power Spot,262
703520,Brett Bateman,1,Toronto Blue Jays,Carlos Rodón,L vs LHP,[NEUTRAL 76° 8MPH],0.09,0.0,0.04,3.6,10.0,⚾ Standard Power Spot,263
702222,Justin Crawford,7,Philadelphia Phillies,Kyle Leahy,L vs RHP,[NEUTRAL 75° 8MPH],0.089,0.0,0.04,3.7,10.0,⚾ Standard Power Spot,264
592663,J.T. Realmuto,6,Philadelphia Phillies,Kyle Leahy,R vs RHP,[NEUTRAL 75° 8MPH],0.127,0.0,0.057,4.9,10.0,⚾ Standard Power Spot,265
686780,Pedro Pagés,9,St. Louis Cardinals,Cristopher Sánchez,R vs LHP,[NEUTRAL 75° 8MPH],0.107,0.0,0.048,4.6,10.0,⚾ Standard Power Spot,266
672695,Geraldo Perdomo,3,Arizona Diamondbacks,Andrew Abbott,S vs LHP,[DOME / CONTROLLED],0.126,0.0,0.057,4.3,10.0,⚾ Standard Power Spot,267
671155,Ivan Johnson,5,Cincinnati Reds,Mitch Bratt,S vs LHP,[DOME / CONTROLLED],0.05,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,268
806198,Cooper Pratt,4,Milwaukee Brewers,Tyler Mahle,R vs RHP,[DOME / CONTROLLED],0.09,0.0,0.04,3.1,10.0,⚾ Standard Power Spot,269
802415,Chandler Simpson,5,Tampa Bay Rays,Shane Baz,L vs RHP,[DOME / CONTROLLED],0.055,0.0,0.025,3.0,10.0,⚾ Standard Power Spot,270
