player_id,player_name,order,team,opp_pitcher,matchup,season_iso,drought_games,scale_lambda,hazard_rate,projected_due,hazard_score,target_call,rank
694249,Cole Carrigg,3,Colorado Rockies,Foster Griffin (LHP),S vs L,0.185,20,10.4,18.8,⚡ DUE NOW (Aug 24),37.5,⚡ DUE DATE WATCH: Critical Hazard Spike,13
670231,John Rave,5,Kansas City Royals,TBD Pitcher (RHP),L vs R,0.209,13,9.2,18.5,⚡ DUE NOW (Aug 24),36.9,⚡ DUE DATE WATCH: Critical Hazard Spike,14
682928,CJ Abrams,5,Washington Nationals,Janson Junk (RHP),L vs R,0.251,7,7.6,18.2,🔥 PEAK WINDOW (Aug 24),36.4,🔥 ELEVATED HAZARD: Approaching Due Window,15
641680,Jonah Heim,8,Athletics,Cristian Javier (RHP),S vs R,0.179,20,10.7,17.9,⚡ DUE NOW (Aug 24),35.8,⚡ DUE DATE WATCH: Critical Hazard Spike,16
686527,Dominic Canzone,5,Seattle Mariners,Shota Imanaga (LHP),L vs L,0.227,9,8.5,17.6,⚡ DUE NOW (Aug 24),35.3,⚡ DUE DATE WATCH: Critical Hazard Spike,17
682998,Corbin Carroll,1,Arizona Diamondbacks,Andrew Abbott (LHP),L vs L,0.235,8,8.2,17.6,🔥 PEAK WINDOW (Aug 24),35.2,🔥 ELEVATED HAZARD: Approaching Due Window,18
668804,Bryan Reynolds,3,Pittsburgh Pirates,Blake Snell (LHP),S vs L,0.166,23,11.6,17.1,⚡ DUE NOW (Aug 24),34.2,⚡ DUE DATE WATCH: Critical Hazard Spike,19
813841,Jonah Cox,7,San Francisco Giants,Jake Bennett (LHP),R vs L,0.186,15,10.3,16.6,⚡ DUE NOW (Aug 24),33.2,⚡ DUE DATE WATCH: Critical Hazard Spike,20
668930,Brice Turang,2,Milwaukee Brewers,Tyler Mahle (RHP),L vs R,0.174,17,11.0,16.0,⚡ DUE NOW (Aug 24),31.9,⚡ DUE DATE WATCH: Critical Hazard Spike,21
642201,Eli White,7,Boston Red Sox,Matt Wilkinson (LHP),R vs L,0.173,17,11.1,15.8,⚡ DUE NOW (Aug 24),31.7,⚡ DUE DATE WATCH: Critical Hazard Spike,22
