player_id,player_name,order,team,opp_pitcher,matchup,season_iso,drought_games,scale_lambda,hazard_prob,hazard_score,target_call,rank
693307,Dillon Dingler,4,Detroit Tigers,Michael Wacha (RHP),R vs R,0.233,0,8.2,8.0,16.0,🔄 RECENT RESET: Just Homered,94
656716,Zach McKinstry,5,Detroit Tigers,Michael Wacha (RHP),L vs R,0.107,0,17.9,8.0,16.0,🔄 RECENT RESET: Just Homered,95
814430,Brett Callahan,6,Detroit Tigers,Michael Wacha (RHP),L vs R,0.384,0,5.0,8.0,16.0,🔄 RECENT RESET: Just Homered,96
679529,Spencer Torkelson,7,Detroit Tigers,Michael Wacha (RHP),R vs R,0.186,0,10.3,8.0,16.0,🔄 RECENT RESET: Just Homered,97
703601,Max Clark,8,Detroit Tigers,Michael Wacha (RHP),L vs R,0.137,0,14.0,8.0,16.0,🔄 RECENT RESET: Just Homered,98
701678,Hao-Yu Lee,9,Detroit Tigers,Michael Wacha (RHP),R vs R,0.146,0,13.2,8.0,16.0,🔄 RECENT RESET: Just Homered,99
695600,Carter Jensen,1,Kansas City Royals,Drew Anderson (RHP),L vs R,0.186,0,10.3,8.0,16.0,🔄 RECENT RESET: Just Homered,100
677951,Bobby Witt Jr.,2,Kansas City Royals,Drew Anderson (RHP),R vs R,0.175,0,11.0,8.0,16.0,🔄 RECENT RESET: Just Homered,101
695506,Jac Caglianone,3,Kansas City Royals,Drew Anderson (RHP),L vs R,0.214,0,9.0,8.0,16.0,🔄 RECENT RESET: Just Homered,102
521692,Salvador Perez,4,Kansas City Royals,Drew Anderson (RHP),R vs R,0.148,0,13.0,8.0,16.0,🔄 RECENT RESET: Just Homered,103
686469,Vinnie Pasquantino,5,Kansas City Royals,Drew Anderson (RHP),L vs R,0.134,0,14.3,8.0,16.0,🔄 RECENT RESET: Just Homered,104
679845,Nick Loftin,6,Kansas City Royals,Drew Anderson (RHP),R vs R,0.142,0,13.5,8.0,16.0,🔄 RECENT RESET: Just Homered,105
686681,Michael Massey,7,Kansas City Royals,Drew Anderson (RHP),L vs R,0.17,0,11.3,8.0,16.0,🔄 RECENT RESET: Just Homered,106
686475,Tyler Tolbert,8,Kansas City Royals,Drew Anderson (RHP),R vs R,0.141,0,13.6,8.0,16.0,🔄 RECENT RESET: Just Homered,107
664728,Kyle Isbel,9,Kansas City Royals,Drew Anderson (RHP),L vs R,0.12,0,16.0,8.0,16.0,🔄 RECENT RESET: Just Homered,108
693304,Nick Gonzales,1,Pittsburgh Pirates,Tarik Skubal (LHP),R vs L,0.093,0,20.6,8.0,16.0,🔄 RECENT RESET: Just Homered,109
699013,Esmerlyn Valdez,2,Pittsburgh Pirates,Tarik Skubal (LHP),R vs L,0.286,0,6.7,8.0,16.0,🔄 RECENT RESET: Just Homered,110
668804,Bryan Reynolds,3,Pittsburgh Pirates,Tarik Skubal (LHP),S vs L,0.167,0,11.5,8.0,16.0,🔄 RECENT RESET: Just Homered,111
